prop1,prop2,prop3
0.15,0.08,0.75
0.94,0.54,0.55
0.83,0.67,0.33
0.56,0.55,0.91
0.72,0.56,0.66
0.12,0.53,0.91
0.97,0.87,0.91
0.47,0.41,0.30
0.97,0.51,0.45
0.67,0.15,1.00
0.60,0.61,0.46
0.83,0.01,0.12
0.74,0.30,0.31
0.27,0.06,0.84
0.10,0.15,0.09
0.33,0.12,0.97
0.37,0.40,0.44
0.76,0.08,0.18
0.58,0.67,0.59
0.39,0.60,0.92
0.84,0.65,0.93
0.18,0.54,0.50
0.10,0.79,0.79
0.86,0.56,0.78
0.41,0.62,0.26
0.10,0.52,0.88
0.70,0.40,0.95
0.87,0.48,0.78
0.21,0.51,0.64
0.06,0.65,0.83
0.46,0.22,0.89
0.13,0.52,0.90
0.89,0.09,0.07
0.24,0.46,0.59
0.19,0.18,0.36
0.61,0.40,0.41
0.91,0.71,0.25
0.66,0.71,0.45
0.08,0.94,0.60
0.14,0.92,0.71
0.20,0.39,0.23
0.20,0.73,1.00
0.73,0.28,1.00
0.09,1.00,0.78
0.52,0.47,0.63
0.33,0.19,0.22
0.11,0.20,0.52
0.96,0.56,0.51
0.15,0.97,0.40
0.10,0.20,0.09
0.78,0.14,0.95
0.93,0.81,0.43
0.60,0.86,0.56
0.28,0.70,0.53
0.62,0.87,0.66
0.19,0.29,0.46
0.33,0.46,0.61
0.24,0.58,0.74
0.01,0.53,0.12
0.90,0.90,0.07
0.44,0.61,0.35
0.80,0.99,0.04
0.74,0.98,0.85
0.47,0.88,0.55
0.74,0.48,0.41
0.94,0.19,0.51
0.84,0.93,0.56
0.46,0.92,0.95
0.03,0.51,0.36
0.23,0.72,0.61
0.27,0.55,0.90
0.19,0.23,0.98
0.75,1.00,0.02
0.89,0.56,0.91
0.81,0.06,0.94
0.55,0.88,0.02
0.12,0.89,0.16
0.65,0.09,0.23
0.25,0.82,0.69
0.83,0.96,0.91
0.23,0.82,0.67
0.53,0.41,0.34
0.84,0.72,0.78
0.91,0.35,0.47
0.00,0.94,0.64
0.82,0.31,0.38
0.72,0.84,0.73
0.16,0.97,0.20
0.28,0.71,0.76
0.02,0.85,0.77
0.29,0.10,0.72
0.64,0.94,0.92
0.96,0.91,0.10
0.48,0.26,0.31
0.55,0.35,0.09
0.43,0.12,0.80
0.23,0.81,0.41
0.39,0.96,0.60
0.70,0.68,0.57
