id,age,age_cat,sex,traploc,organ,THg
RF-18-CH-22,1,adult,F,Town of Churchill,KidCort,178.623275
RF-18-CH-22,1,adult,F,Town of Churchill,KidMed,29.49875
RF-18-CH-22,1,adult,F,Town of Churchill,claw,1155.286141
RF-18-CH-22,1,adult,F,Town of Churchill,brain,23.78255
RF-18-CH-22,1,adult,F,Town of Churchill,GH,1976.549283
RF-17-CH-01,0,juvenile,F,Seal River,liver,96.92455
RF-17-CH-05,0,juvenile,F,Goose Creek,liver,143.4173
RF-17-CH-06,1,adult,F,Wakeworth Lake,liver,160.19525
RF-17-CH-07,0,juvenile,F,Wakeworth Lake,liver,89.16516
RF-17-CH-10,5,adult,F,Goose Creek,liver,309.96196
RF-17-CH-14,0,juvenile,F,Town of Churchill,liver,144.2863
RF-17-CH-19,2,adult,F,Southknife Lake,liver,180.34185
RF-17-CH-22,0,juvenile,F,Mack Lake area,liver,67.52575
RF-18-CH-04,0,juvenile,F,Button Bay,liver,116.75555
RF-18-CH-12,0,juvenile,F,Twin Lakes,liver,123.0606
RF-18-CH-14,0,juvenile,F,North River,liver,59.496525
RF-18-CH-15,0,juvenile,F,Button Bay,liver,137.64365
RF-18-CH-17,0,juvenile,F,Button Bay,liver,69.7825
RF-18-CH-18,0,juvenile,F,North River,liver,101.9211
RF-18-CH-20,0,juvenile,F,Twin Lakes,liver,91.31615
RF-18-CH-21,7,adult,F,North River,liver,334.88845
RF-18-CH-22,1,adult,F,Town of Churchill,liver,154.98075
RF-18-CH-24,2,adult,F,North River,liver,157.02975
RF-18-CH-25,0,juvenile,F,North River,liver,138.93435
RF-18-CH-28,0,juvenile,F,North River,liver,62.97465
RF-18-CH-29,0,juvenile,F,Town of Churchill,liver,97.6729
RF-18-CH-30,0,juvenile,F,Twin Lakes,liver,124.82395
RF-18-CH-33,0,juvenile,F,Town of Churchill,liver,48.509
RF-18-CH-38,5,adult,F,Twin Lakes,liver,430.2187
RF-18-CH-39,0,juvenile,F,Twin Lakes,liver,210.3587
RF-18-CH-40,0,juvenile,F,Twin Lakes,liver,259.3577
RF-17-CH-01,0,juvenile,F,Seal River,muscle,20.4699
RF-17-CH-05,0,juvenile,F,Goose Creek,muscle,55.15605
RF-17-CH-06,1,adult,F,Wakeworth Lake,muscle,58.21545
RF-17-CH-07,0,juvenile,F,Wakeworth Lake,muscle,45.24102
RF-17-CH-10,5,adult,F,Goose Creek,muscle,110.7888
RF-17-CH-14,0,juvenile,F,Town of Churchill,muscle,42.4636
RF-17-CH-19,2,adult,F,Southknife Lake,muscle,61.68345
RF-17-CH-22,0,juvenile,F,Mack Lake area,muscle,17.32935
RF-18-CH-04,0,juvenile,F,Button Bay,muscle,38.76505
RF-18-CH-12,0,juvenile,F,Twin Lakes,muscle,93.8898
RF-18-CH-14,0,juvenile,F,North River,muscle,25.5801
RF-18-CH-15,0,juvenile,F,Button Bay,muscle,60.17025
RF-18-CH-17,0,juvenile,F,Button Bay,muscle,27.4815
RF-18-CH-18,0,juvenile,F,North River,muscle,47.08265
RF-18-CH-20,0,juvenile,F,Twin Lakes,muscle,28.5819
RF-18-CH-21,7,adult,F,North River,muscle,153.25085
RF-18-CH-22,1,adult,F,Town of Churchill,muscle,43.85815
RF-18-CH-24,2,adult,F,North River,muscle,35.98375
RF-18-CH-25,0,juvenile,F,North River,muscle,57.2995
RF-18-CH-28,0,juvenile,F,North River,muscle,37.2622
RF-18-CH-29,0,juvenile,F,Town of Churchill,muscle,43.14795
RF-18-CH-30,0,juvenile,F,Twin Lakes,muscle,42.56875
RF-18-CH-33,0,juvenile,F,Town of Churchill,muscle,28.7374
RF-18-CH-38,5,adult,F,Twin Lakes,muscle,184.2956
RF-18-CH-39,0,juvenile,F,Twin Lakes,muscle,65.39325
RF-18-CH-40,0,juvenile,F,Twin Lakes,muscle,101.55225
RF-17-CH-01,0,juvenile,F,Seal River,KidCort,NA
RF-17-CH-05,0,juvenile,F,Goose Creek,KidCort,NA
RF-17-CH-06,1,adult,F,Wakeworth Lake,KidCort,NA
RF-17-CH-07,0,juvenile,F,Wakeworth Lake,KidCort,NA
RF-17-CH-10,5,adult,F,Goose Creek,KidCort,NA
RF-17-CH-14,0,juvenile,F,Town of Churchill,KidCort,NA
RF-17-CH-19,2,adult,F,Southknife Lake,KidCort,NA
RF-17-CH-22,0,juvenile,F,Mack Lake area,KidCort,107.40255
RF-18-CH-04,0,juvenile,F,Button Bay,KidCort,151.8234
RF-18-CH-12,0,juvenile,F,Twin Lakes,KidCort,312.10765
RF-18-CH-14,0,juvenile,F,North River,KidCort,171.0608
RF-18-CH-15,0,juvenile,F,Button Bay,KidCort,394.478
RF-18-CH-17,0,juvenile,F,Button Bay,KidCort,175.2923
RF-18-CH-18,0,juvenile,F,North River,KidCort,225.5899583
RF-18-CH-20,0,juvenile,F,Twin Lakes,KidCort,191.023
RF-18-CH-21,7,adult,F,North River,KidCort,427.4035
RF-18-CH-24,2,adult,F,North River,KidCort,455.446825
RF-18-CH-25,0,juvenile,F,North River,KidCort,495.4925
RF-18-CH-28,0,juvenile,F,North River,KidCort,245.9633
RF-18-CH-29,0,juvenile,F,Town of Churchill,KidCort,256.48005
RF-18-CH-30,0,juvenile,F,Twin Lakes,KidCort,286.1063
RF-18-CH-33,0,juvenile,F,Town of Churchill,KidCort,133.032825
RF-18-CH-38,5,adult,F,Twin Lakes,KidCort,300.48185
RF-18-CH-39,0,juvenile,F,Twin Lakes,KidCort,357.6592
RF-18-CH-40,0,juvenile,F,Twin Lakes,KidCort,430.18975
RF-17-CH-01,0,juvenile,F,Seal River,KidMed,NA
RF-17-CH-05,0,juvenile,F,Goose Creek,KidMed,NA
RF-17-CH-06,1,adult,F,Wakeworth Lake,KidMed,NA
RF-17-CH-07,0,juvenile,F,Wakeworth Lake,KidMed,NA
RF-17-CH-10,5,adult,F,Goose Creek,KidMed,NA
RF-17-CH-14,0,juvenile,F,Town of Churchill,KidMed,NA
RF-17-CH-19,2,adult,F,Southknife Lake,KidMed,NA
RF-17-CH-22,0,juvenile,F,Mack Lake area,KidMed,60.7187
RF-18-CH-04,0,juvenile,F,Button Bay,KidMed,60.512875
RF-18-CH-12,0,juvenile,F,Twin Lakes,KidMed,98.94805
RF-18-CH-14,0,juvenile,F,North River,KidMed,28.2493
RF-18-CH-15,0,juvenile,F,Button Bay,KidMed,99.7388
RF-18-CH-17,0,juvenile,F,Button Bay,KidMed,33.422
RF-18-CH-18,0,juvenile,F,North River,KidMed,81.48335
RF-18-CH-20,0,juvenile,F,Twin Lakes,KidMed,52.5115
RF-18-CH-21,7,adult,F,North River,KidMed,220.6297
RF-18-CH-24,2,adult,F,North River,KidMed,95.20695
RF-18-CH-25,0,juvenile,F,North River,KidMed,167.5354
RF-18-CH-28,0,juvenile,F,North River,KidMed,54.6842
RF-18-CH-29,0,juvenile,F,Town of Churchill,KidMed,92.79309167
RF-18-CH-30,0,juvenile,F,Twin Lakes,KidMed,61.9774
RF-18-CH-33,0,juvenile,F,Town of Churchill,KidMed,63.56055
RF-18-CH-38,5,adult,F,Twin Lakes,KidMed,182.3716
RF-18-CH-39,0,juvenile,F,Twin Lakes,KidMed,62.3871
RF-18-CH-40,0,juvenile,F,Twin Lakes,KidMed,145.4088
RF-17-CH-01,0,juvenile,F,Seal River,claw,459.029611
RF-17-CH-05,0,juvenile,F,Goose Creek,claw,1142.103555
RF-17-CH-06,1,adult,F,Wakeworth Lake,claw,1702.520285
RF-17-CH-07,0,juvenile,F,Wakeworth Lake,claw,617.3605624
RF-17-CH-10,5,adult,F,Goose Creek,claw,1079.197827
RF-17-CH-14,0,juvenile,F,Town of Churchill,claw,1150.091267
RF-17-CH-19,2,adult,F,Southknife Lake,claw,1732.237176
RF-17-CH-22,0,juvenile,F,Mack Lake area,claw,NA
RF-18-CH-04,0,juvenile,F,Button Bay,claw,287.2234
RF-18-CH-12,0,juvenile,F,Twin Lakes,claw,209.4014
RF-18-CH-14,0,juvenile,F,North River,claw,303.8711
RF-18-CH-15,0,juvenile,F,Button Bay,claw,1605.5081
RF-18-CH-17,0,juvenile,F,Button Bay,claw,885.4321
RF-18-CH-18,0,juvenile,F,North River,claw,226.7094
RF-18-CH-20,0,juvenile,F,Twin Lakes,claw,458.3897
RF-18-CH-21,7,adult,F,North River,claw,1115.85439
RF-18-CH-24,2,adult,F,North River,claw,1693.6451
RF-18-CH-25,0,juvenile,F,North River,claw,1132.0764
RF-18-CH-28,0,juvenile,F,North River,claw,566.5337
RF-18-CH-29,0,juvenile,F,Town of Churchill,claw,227.0842
RF-18-CH-30,0,juvenile,F,Twin Lakes,claw,NA
RF-18-CH-33,0,juvenile,F,Town of Churchill,claw,235.36
RF-18-CH-38,5,adult,F,Twin Lakes,claw,NA
RF-18-CH-39,0,juvenile,F,Twin Lakes,claw,1764.902882
RF-18-CH-40,0,juvenile,F,Twin Lakes,claw,NA
RF-17-CH-01,0,juvenile,F,Seal River,brain,10.57063157
RF-17-CH-05,0,juvenile,F,Goose Creek,brain,42.80802241
RF-17-CH-06,1,adult,F,Wakeworth Lake,brain,NA
RF-17-CH-07,0,juvenile,F,Wakeworth Lake,brain,25.81450148
RF-17-CH-10,5,adult,F,Goose Creek,brain,109.931754
RF-17-CH-14,0,juvenile,F,Town of Churchill,brain,46.11716935
RF-17-CH-19,2,adult,F,Southknife Lake,brain,NA
RF-17-CH-22,0,juvenile,F,Mack Lake area,brain,33.15230349
RF-18-CH-04,0,juvenile,F,Button Bay,brain,16.6764
RF-18-CH-12,0,juvenile,F,Twin Lakes,brain,53.3295
RF-18-CH-14,0,juvenile,F,North River,brain,12.4029
RF-18-CH-15,0,juvenile,F,Button Bay,brain,34.9539
RF-18-CH-17,0,juvenile,F,Button Bay,brain,17.46495
RF-18-CH-18,0,juvenile,F,North River,brain,21.0033
RF-18-CH-20,0,juvenile,F,Twin Lakes,brain,16.6996
RF-18-CH-21,7,adult,F,North River,brain,54.94716393
RF-18-CH-24,2,adult,F,North River,brain,20.8567
RF-18-CH-25,0,juvenile,F,North River,brain,40.32565
RF-18-CH-28,0,juvenile,F,North River,brain,26.48303333
RF-18-CH-29,0,juvenile,F,Town of Churchill,brain,30.13695
RF-18-CH-30,0,juvenile,F,Twin Lakes,brain,38.87715
RF-18-CH-33,0,juvenile,F,Town of Churchill,brain,NA
RF-18-CH-38,5,adult,F,Twin Lakes,brain,62.80416696
RF-18-CH-39,0,juvenile,F,Twin Lakes,brain,NA
RF-18-CH-40,0,juvenile,F,Twin Lakes,brain,126.3069981
RF-17-CH-01,0,juvenile,F,Seal River,GH,940.1566
RF-17-CH-05,0,juvenile,F,Goose Creek,GH,2467.966963
RF-17-CH-06,1,adult,F,Wakeworth Lake,GH,2089.975449
RF-17-CH-07,0,juvenile,F,Wakeworth Lake,GH,1159.580917
RF-17-CH-10,5,adult,F,Goose Creek,GH,2437.417656
RF-17-CH-14,0,juvenile,F,Town of Churchill,GH,1974.136398
RF-17-CH-19,2,adult,F,Southknife Lake,GH,2228.524
RF-17-CH-22,0,juvenile,F,Mack Lake area,GH,NA
RF-18-CH-04,0,juvenile,F,Button Bay,GH,577.03265
RF-18-CH-12,0,juvenile,F,Twin Lakes,GH,531.3318
RF-18-CH-14,0,juvenile,F,North River,GH,604.9926
RF-18-CH-15,0,juvenile,F,Button Bay,GH,2509.829
RF-18-CH-17,0,juvenile,F,Button Bay,GH,717.588
RF-18-CH-18,0,juvenile,F,North River,GH,504.7938
RF-18-CH-20,0,juvenile,F,Twin Lakes,GH,913.3898
RF-18-CH-21,7,adult,F,North River,GH,2747.210345
RF-18-CH-24,2,adult,F,North River,GH,2084.6407
RF-18-CH-25,0,juvenile,F,North River,GH,2361.85
RF-18-CH-28,0,juvenile,F,North River,GH,1461.9027
RF-18-CH-29,0,juvenile,F,Town of Churchill,GH,553.6322
RF-18-CH-30,0,juvenile,F,Twin Lakes,GH,NA
RF-18-CH-33,0,juvenile,F,Town of Churchill,GH,481.0860648
RF-18-CH-38,5,adult,F,Twin Lakes,GH,NA
RF-18-CH-39,0,juvenile,F,Twin Lakes,GH,2096.632419
RF-18-CH-40,0,juvenile,F,Twin Lakes,GH,NA
RF-17-CH-02,0,juvenile,M,Seal River,liver,123.96985
RF-17-CH-03,5,adult,M,Seal River,liver,287.2108
RF-17-CH-04,7,adult,M,Goose Creek,liver,344.38825
RF-17-CH-12,3,adult,M,Seal River,liver,239.08055
RF-17-CH-13,0,juvenile,M,Button Bay,liver,162.75855
RF-17-CH-18,9,adult,M,Southknife Lake,liver,823.33565
RF-17-CH-20,3,adult,M,Southknife Lake,liver,257.6811
RF-17-CH-23,5,adult,M,Southknife Lake,liver,181.33465
RF-18-CH-01,0,juvenile,M,Button Bay,liver,113.2119
RF-18-CH-02,0,juvenile,M,Town of Churchill,liver,178.6171
RF-18-CH-03,8,adult,M,Town of Churchill,liver,524.1555
RF-18-CH-05,9,adult,M,Seal River,liver,813.55445
RF-18-CH-06,0,juvenile,M,Seal River,liver,263.93025
RF-18-CH-07,0,juvenile,M,Twin Lakes,liver,86.916
RF-18-CH-08,10,adult,M,Line 25,liver,866.3033333
RF-18-CH-09,7,adult,M,Button Bay,liver,514.6424
RF-18-CH-10,8,adult,M,Line 25,liver,321.1452
